ExpID,TopK,Diversity(clsuterSrecall),Diversity(greedySrecall),Diversity(srecall),Relevance(clsuterNrelevance),Relevance(greedyNrelevance),Relevance(relevance),Time(greedyTime)
333,55,0.8333333333333334,0.8333333333333334,0.0,0.5496159754224272,1.0000000000000004,0.8194522079373954,142144.0
334,56,0.7777777777777778,0.8888888888888888,0.14285714285714277,0.5045927740355175,1.0000000000000004,0.9817961165048551,164724.0
335,57,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.6479389312977101,1.0000000000000002,0.5433553251649387,169855.0
336,58,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.5284800487359124,1.0000000000000002,0.8922190201729108,153434.0
337,59,0.8333333333333334,0.8888888888888888,0.06666666666666655,0.545123062898815,1.0000000000000002,0.8344481605351174,153434.0
338,60,0.7777777777777778,0.8888888888888888,0.14285714285714277,0.7060964513193814,1.0000000000000002,0.41623711340206193,163184.0
339,61,0.7777777777777778,0.8888888888888888,0.14285714285714277,0.5443804907603758,1.0000000000000002,0.8369504730105732,163184.0
340,62,0.7222222222222222,0.8888888888888888,0.23076923076923073,0.6259079903147702,1.0000000000000002,0.5976789168278528,161645.0
341,63,0.8333333333333334,0.8888888888888888,0.06666666666666655,0.6013309134906232,1.0,0.6629778672032192,165750.0
342,64,0.8333333333333334,0.8888888888888888,0.06666666666666655,0.6503327283726559,1.0,0.5376744186046509,159591.0
343,65,0.8333333333333334,0.9444444444444444,0.13333333333333325,0.5980036297640654,1.0,0.6722306525037934,163697.0
344,66,0.8333333333333334,0.9444444444444444,0.13333333333333325,0.7477313974591654,1.0,0.3373786407766986,181145.0
345,67,0.7777777777777778,0.9444444444444444,0.21428571428571425,0.7259528130671506,1.0,0.3775,179091.0
346,68,0.7777777777777778,1.0,0.2857142857142857,0.7102238354506959,1.0,0.4080068143100507,201671.0
347,69,0.8333333333333334,1.0,0.19999999999999996,0.6884452510586814,1.0,0.45254833040421755,229382.0
348,70,0.8888888888888888,1.0,0.12500000000000006,0.7153660012099214,1.0,0.39788583509513725,200644.0
349,71,0.7777777777777778,1.0,0.2857142857142857,0.6981246218995766,1.0,0.4324090121317157,224250.0
350,72,0.6666666666666666,1.0,0.5000000000000001,0.8245614035087722,1.0,0.21276595744680818,200131.0
351,73,0.8888888888888888,1.0,0.12500000000000006,0.6830006049606777,1.0,0.46412754650132826,201158.0
352,74,0.6666666666666666,1.0,0.5000000000000001,0.7873563218390808,1.0,0.27007299270072943,204749.0
353,75,0.9444444444444444,1.0,0.05882352941176473,0.7740471869328496,1.0,0.29191090269636544,193461.0
354,76,0.8888888888888888,1.0,0.12500000000000006,0.8009679370840898,1.0,0.24848942598187276,191408.0
355,77,0.9444444444444444,1.0,0.05882352941176473,0.737447065940714,1.0,0.3560295324036093,189355.0
356,78,0.7777777777777778,1.0,0.2857142857142857,0.7574107683000607,1.0,0.3202875399361019,186276.0
357,79,0.8333333333333334,1.0,0.19999999999999996,0.751966122202057,1.0,0.3298471440064357,186276.0
358,80,0.9444444444444444,1.0,0.05882352941176473,0.854506957047792,1.0,0.17026548672566358,206289.0
359,81,0.8888888888888888,1.0,0.12500000000000006,0.8248638838475503,1.0,0.2123212321232118,207828.0
360,82,0.8888888888888888,1.0,0.12500000000000006,0.8777979431336967,1.0,0.13921433494141913,212447.0
361,83,0.8333333333333334,1.0,0.19999999999999996,0.810647307924985,1.0,0.23358208955223866,203723.0
362,84,1.0,1.0,0.0,0.8587416817906838,1.0,0.16449454033110228,225277.0
363,85,1.0,1.0,0.0,0.872958257713249,1.0,0.1455301455301451,213987.0
364,86,1.0,1.0,0.0,0.8481548699334547,1.0,0.1790299572039938,208855.0
365,87,0.9444444444444444,1.0,0.05882352941176473,0.8796128251663645,1.0,0.1368638239339748,211421.0
366,88,1.0,1.0,0.0,0.8790078644888085,1.0,0.13764624913971057,242211.0
367,89,0.9444444444444444,1.0,0.05882352941176473,0.9643073200241988,1.0,0.037013801756586764,217066.0
368,90,1.0,1.0,0.0,0.9579552329098611,1.0,0.04389011682980717,232460.0
369,91,1.0,1.0,0.0,0.9216575922565037,1.0,0.08500164095831925,238105.0
370,92,1.0,1.0,0.0,0.9101633393829404,1.0,0.09870388833499472,243237.0
371,93,1.0,1.0,0.0,0.9337568058076229,1.0,0.07094266277939704,222710.0
372,94,1.0,1.0,0.0,0.9207501512401698,1.0,0.08607095926412568,241697.0
373,95,1.0,1.0,0.0,0.9718693284936484,1.0,0.028944911297851983,264276.0
374,96,1.0,1.0,0.0,0.962492437991531,1.0,0.03896920175989901,242724.0
375,97,1.0,1.0,0.0,0.9942528735632187,1.0,0.00578034682080896,227841.0
376,98,1.0,1.0,0.0,1.0,1.0,0.0,229895.0
377,5,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.294238683127572,0.9320987654320988,2.1678321678321684,41566.0
378,6,0.2777777777777778,0.2222222222222222,-0.20000000000000007,0.2822719449225473,0.9242685025817555,2.2743902439024386,41053.0
379,7,0.2222222222222222,0.2777777777777778,0.2500000000000001,0.27999999999999997,0.9348148148148149,2.3386243386243395,44645.0
380,8,0.2777777777777778,0.3333333333333333,0.19999999999999987,0.44140625000000006,0.9453125,1.141592920353982,50290.0
381,9,0.3888888888888889,0.3333333333333333,-0.1428571428571429,0.3317811408614668,0.9569266589057044,1.8842105263157898,49777.0
382,10,0.2777777777777778,0.3333333333333333,0.19999999999999987,0.4425711275026344,0.9704952581664911,1.1928571428571428,50803.0
383,11,0.4444444444444444,0.3333333333333333,-0.25,0.40615976900866213,0.9817131857555342,1.4170616113744081,51315.0
384,12,0.2222222222222222,0.3888888888888889,0.7500000000000001,0.23670212765957444,0.9813829787234042,3.146067415730337,57474.0
385,13,0.4444444444444444,0.3888888888888889,-0.12499999999999993,0.3679012345679012,0.990946502057613,1.693512304250559,61066.0
386,14,0.3888888888888889,0.3888888888888889,0.0,0.39661798616448884,0.9938508839354344,1.5058139534883725,61579.0
387,15,0.4444444444444444,0.3888888888888889,-0.12499999999999993,0.41341991341991347,0.9985569985569988,1.4153577661431067,75947.0
388,16,0.3333333333333333,0.3888888888888889,0.16666666666666674,0.24201223657375934,0.999320190346703,3.129213483146068,67224.0
389,17,0.4444444444444444,0.3888888888888889,-0.12499999999999993,0.35691318327974275,0.994855305466238,1.7873873873873878,72355.0
