ExpID,TopK,Diversity(clsuterSrecall),Diversity(greedySrecall),Diversity(srecall),Relevance(clsuterNrelevance),Relevance(greedyNrelevance),Relevance(relevance),Time(greedyTime)
525,59,0.7777777777777778,0.8888888888888888,0.14285714285714277,0.5332725615314496,1.0000000000000002,0.8752136752136748,160102.0
526,60,0.7222222222222222,0.8888888888888888,0.23076923076923073,0.5917500758265092,1.0,0.6899026140440793,157536.0
527,61,0.7222222222222222,0.8888888888888888,0.23076923076923073,0.6413208118751896,1.0,0.5592820028341986,155996.0
528,62,0.7222222222222222,0.8888888888888888,0.23076923076923073,0.6537530266343827,1.0,0.5296296296296292,163181.0
529,63,0.7777777777777778,0.8888888888888888,0.14285714285714277,0.7023593466424686,1.0,0.4237726098191208,158049.0
530,64,0.7777777777777778,0.8888888888888888,0.14285714285714277,0.6231094978826378,1.0,0.6048543689320384,155997.0
531,65,0.8333333333333334,0.9444444444444444,0.13333333333333325,0.6769509981851181,1.0,0.4772117962466486,168825.0
532,66,0.8888888888888888,0.9444444444444444,0.06250000000000003,0.630973986690865,1.0,0.5848513902205179,183194.0
533,67,0.8333333333333334,0.9444444444444444,0.13333333333333325,0.6497277676950999,1.0,0.5391061452513966,166772.0
534,68,0.8888888888888888,1.0,0.12500000000000006,0.7816091954022991,1.0,0.2794117647058819,163181.0
535,69,0.8333333333333334,1.0,0.19999999999999996,0.7316999395039325,1.0,0.3666804464654811,166773.0
536,70,0.8888888888888888,1.0,0.12500000000000006,0.6941923774954631,1.0,0.44052287581699273,285310.0
537,71,0.8888888888888888,1.0,0.12500000000000006,0.7465214761040533,1.0,0.33954619124797397,183193.0
538,72,0.8333333333333334,1.0,0.19999999999999996,0.722323049001815,1.0,0.3844221105527636,168312.0
539,73,0.7777777777777778,1.0,0.2857142857142857,0.7259528130671508,1.0,0.3774999999999998,172417.0
540,74,0.7777777777777778,1.0,0.2857142857142857,0.7764670296430732,1.0,0.287884690299961,194483.0
541,75,0.8333333333333334,1.0,0.19999999999999996,0.7035692679975803,1.0,0.4213241616509025,183194.0
542,76,0.7777777777777778,1.0,0.2857142857142857,0.7271627344222626,1.0,0.37520798668885175,181654.0
543,77,0.8888888888888888,1.0,0.12500000000000006,0.7785843920145192,1.0,0.2843822843822841,188325.0
544,78,0.9444444444444444,1.0,0.05882352941176473,0.8297035692679976,1.0,0.20524972657674076,182680.0
545,79,0.8888888888888888,1.0,0.12500000000000006,0.8266787658802177,1.0,0.2096597145993415,191917.0
546,80,1.0,1.0,0.0,0.8442226255293406,1.0,0.1845216768183447,184733.0
547,81,0.9444444444444444,1.0,0.05882352941176473,0.870235934664247,1.0,0.14911366006256496,245285.0
548,82,0.8333333333333334,1.0,0.19999999999999996,0.7870538415003024,1.0,0.2705611068408917,191404.0
549,83,1.0,1.0,0.0,0.8133696309739867,1.0,0.2294533283748605,185246.0
550,84,0.8888888888888888,1.0,0.12500000000000006,0.8708408953418029,1.0,0.1483153872872524,192430.0
551,85,0.9444444444444444,1.0,0.05882352941176473,0.8575317604355717,1.0,0.16613756613756617,191404.0
552,86,0.8333333333333334,1.0,0.19999999999999996,0.8584392014519058,1.0,0.16490486257928097,186786.0
553,87,0.9444444444444444,1.0,0.05882352941176473,0.871143375680581,1.0,0.1479166666666664,196022.0
554,88,0.9444444444444444,1.0,0.05882352941176473,0.9044162129461587,1.0,0.10568561872909674,208338.0
555,89,0.9444444444444444,1.0,0.05882352941176473,0.8914095583787054,1.0,0.12181879877841872,334059.0
556,90,1.0,1.0,0.0,0.9700544464609799,1.0,0.030869971936389257,206285.0
557,91,0.9444444444444444,1.0,0.05882352941176473,0.9334543254688445,1.0,0.07128969539857417,202180.0
558,92,1.0,1.0,0.0,0.9519056261343014,1.0,0.05052430886558612,212443.0
559,93,1.0,1.0,0.0,0.9670296430732004,1.0,0.03409446355958696,214495.0
560,94,1.0,1.0,0.0,1.0000000000000002,1.0,-2.2204460492503126E-16,223219.0
561,95,1.0,1.0,0.0,0.9446460980036298,1.0,0.058597502401536994,254008.0
562,96,1.0,1.0,0.0,1.0,1.0,0.0,230403.0
563,97,1.0,1.0,0.0,1.0000000000000004,1.0,-4.440892098500624E-16,220654.0
564,98,1.0,1.0,0.0,1.0,1.0,0.0,253495.0
565,5,0.2777777777777778,0.2222222222222222,-0.20000000000000007,0.3621399176954732,0.9320987654320988,1.5738636363636365,36434.0
566,6,0.2222222222222222,0.2222222222222222,0.0,0.29432013769363163,0.9242685025817555,2.1403508771929824,35921.0
567,7,0.2777777777777778,0.2777777777777778,0.0,0.34074074074074073,0.9348148148148149,1.7434782608695656,36433.0
568,8,0.2777777777777778,0.3333333333333333,0.19999999999999987,0.4856770833333334,0.9453125000000001,0.9463806970509382,45157.0
569,9,0.3333333333333333,0.3333333333333333,0.0,0.4330616996507567,0.9569266589057044,1.209677419354839,42078.0
570,10,0.3333333333333333,0.3333333333333333,0.0,0.3055848261327714,0.9704952581664911,2.175862068965517,66709.0
571,11,0.3333333333333333,0.3333333333333333,0.0,0.31183830606352264,0.9817131857555342,2.148148148148148,53367.0
572,12,0.3888888888888889,0.3888888888888889,0.0,0.4228723404255319,0.9813829787234041,1.3207547169811318,54394.0
573,13,0.3333333333333333,0.3888888888888889,0.16666666666666674,0.2288065843621399,0.9909465020576133,3.3309352517985613,60038.0
574,14,0.4444444444444444,0.3888888888888889,-0.12499999999999993,0.3627978478093774,0.9938508839354344,1.7394067796610173,55933.0
575,15,0.3333333333333333,0.3888888888888889,0.16666666666666674,0.33838383838383845,0.9985569985569988,1.950959488272921,56447.0
576,16,0.5555555555555556,0.3888888888888889,-0.30000000000000004,0.6397008837525493,0.999320190346703,0.5621679064824656,56959.0
577,17,0.3333333333333333,0.3888888888888889,0.16666666666666674,0.32347266881028935,0.994855305466238,2.0755467196819093,113405.0
578,18,0.3888888888888889,0.3888888888888889,0.0,0.23486238532110093,0.9981651376146788,3.2499999999999996,71327.0
579,19,0.4444444444444444,0.3888888888888889,-0.12499999999999993,0.43691588785046737,0.9964953271028039,1.2807486631016043,67736.0
580,20,0.3888888888888889,0.3888888888888889,0.0,0.3551454138702461,0.9988814317673378,1.81259842519685,69788.0
581,21,0.5,0.4444444444444444,-0.11111111111111116,0.4380032206119163,0.9994632313472892,1.2818627450980387,99037.0
