Name,Description/Focus,Date launched,Registered users,Registration,"Global Alexa, Page ranking"
Wasabi,General. UK-based.,2014,,Open,"95,188"
WAYN,Travel and lifestyle,May 2003,"10,000,000",Open to people 18 and older,"2,974"
WebBiographies,Genealogy and biography,2014,,Open,"734,214"
WeeWorld,Teenagers - 10 to 17,2014,"30,000,000",Open to ages 13 and older.,"8,729"
WeOurFamily,General with emphasis on privacy and security,2014,,"Open, subscription-based","685,337"
Wer-kennt-wen,General,2014,,General,441
weRead,Books,June 2007,"4,000,000",Open,"80,233"
Windows Live Spaces,Blogging (formerly MSN Spaces),2014,"120,000,000",Open,NA (Alexa only records data for second-level domains)
WiserEarth,Online community space for the social justice and environmental movement,2014,"45,000",Open to people 16 and older,"77,143"
Wooxie,Blogging and micro-blogging,2014,,Open,"169,489"
WriteAPrisoner.com,"Site networking inmates, friends, family",September 2000,"66,000",Open to people 18 years and older,"252,188"
Xanga,"Blogs and ""metro"" areas",Unknown,"27,000,000",Open,768
XING,"Business (primarily Europe (Germany, Austria, Switzerland))",2014,"11,100,000",Open,260
Xt3,"Catholic social networking, created after World Youth Day 2008",2014,,Open,"136,804"
Yammer,Social networking for office colleagues,2014,,Must have company email,"3,769"
"Yelp, Inc.",Local Business Review and Talk,2014,,Open,182
Zoo.gr,Greek Web Meeting point,2004,"890,000",Open,"8,057"
Zooppa,Online Community for Creative Talent (host of brand sponsored advertising contests),2014,"60,000",Open to people 14 and older,"88,555"
