"Preceded by
Emperor Shōwa
(Hirohito)","Emperor of Japan
1989–present","Incumbent
Heir apparent:
Crown Prince Naruhito"
Order of precedence in Japan,Order of precedence in Japan,Order of precedence in Japan
First,"Gentlemen
as the Sovereign","Succeeded by
The Crown Prince"
