JAPANESEROOT,ENGLISH,"JAPANESE""PLANET""",ENGLISH,JAPANESEDAY,ENGLISH
"Taiyou, HiNichi",Sun,Taiyou,Sun,NichiYoubi,Sunday
"Tsuki, GatsuGetsu",Moon,Tsuki,Moon,GetsuYoubi,Monday
"Honoo, HiKa",Fire,KaSei,Mars,KaYoubi,Tuesday
MizuSui,Water,SuiSei,Mercury,SuiYoubi,Wednesday
KiMoku,Tree,MokuSei,Jupiter,MokuYoubi,Thursday
Kin,Gold,KinSei,Venus,KinYoubi,Friday
TsuchiDou,Land,DouSei,Saturn,DouYoubi,Saturday
