High Alemannic,Low Alemannic,Standard German,translation
ˈxaʃtə,ˈkʰaʃtə,ˈkʰastən,box
k͡xaˈri(ː)b̥ik͡x,kʰaˈriːbikʰ,kʰaˈriːbɪk,Caribbean
