Games,Athletes,Gold,Silver,Bronze,Total,Rank
1928 St. Moritz,44,0,0,1,1,8
1932 Lake Placid,20,0,0,2,2,9
1936 Garmisch-Partenkirchen,55,3,3,0,6,2
1948 St. Moritz,did not participate,did not participate,did not participate,did not participate,did not participate,did not participate
1952 Oslo,53,3,2,2,7,4
1956–1964,as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA)
1968–1988,as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR)
1992 Albertville,111,10,10,6,26,1
1994 Lillehammer,112,9,7,8,24,3
1998 Nagano,125,12,9,8,29,1
2002 Salt Lake City,157,12,16,8,36,2
2006 Turin,162,11,12,6,29,1
2010 Vancouver,152,10,13,7,30,2
2014 Sochi,153,8,6,5,19,6
Total,Total,78,78,53,209,3
